sp;eng
Puerta;Door
Ventana;Window
Ordenador;Computer
Manual;Manual
Friki;Nerd
Silla;Chair
¨A qu est s jugando?;What game are you playing?
Entonces, ¨me ayudar s a aprobar el ex men de historia?;So, you will help me to pass the history exam?
¨Est s usando el aula de inform tica para jugar?;Are you using the computer room to play games?
No te molesto;I don't bother you
El juego de estrategia definitivo es el Civilization;The ultimate strategy game is Civilization
Parece que se te dan muy bien los juegos de estrategia;You seem to be very good at strategy games
Prefiero las aventuras gr ficas;I prefer point and click games
No te quiero distraer;I don't want to distract you
No tienes un poco de obsesi¢n con las guerras hist¢ricas;Don't you have a bit of an obsession with historical wars?
Si se te da tan bien la historia, ¨no podr¡as ayudarme?;If you're so good at the history, Couldn't you help me?
Muy interesante;Very interesting
Si me ayudas, puedes decir a la gente que somos amigos;If you help me, you can tell people that we're friends
Si me ayudas, ir una tarde a merendar leche con galletas a tu casa;If you help me, I will go for an afternoon snack with milk and biscuits at your house
Si me ayudas, te ense¤are a hacer niveles chulos para el DOOM;If you help me, I wil teach you how to do cool levels for DOOM
Bueno, djalo...;Well, forget it...
¨Qu necesito para el disfraz?;What do I need for the costume?
Genial, ­Gracias!;Great, Thank you!
­Estoy jugando al Age of Empires!;I'm playing Age of Empires!
El juego de estrategia definitivo;The Ultimate Strategy Game
Estoy usando todos mis conocimientos de la guerra para hacer partidas perfectas;I'm using all my war knowledge to make perfect game
Me encanta jugar a ser un se¤or de la guerra y aplastar a mis enemigos;I love to play that i'm a warlord and crush my enemies
Mi terapeuta dice que canaliza el odio que tengo dentro;My therapist says it channels the hatred I have inside
Si quieres puedes jugar conmigo;If you want you can play with me
O venir a mi casa y te ense¤o mas juegos que tengo;Or come to my house and I will show you more games I have
O podemos merendar y jugar al Dragones y Mazmorras;Or we can have a snack and play Dragons and Dungeons
Tengo una campa¤a pensada que es la bomb...;I have a campaign that I think is the bes...
­BASTA!;ENOUGH!
No me interesa, gracias;No interest in that, thanks.
Como quieras;Whatever
Y t£ le dijiste a tus padres que te compraran el ordenador para estudiar;And you told your parents to buy you the computer to study
Touch;Touché
Me encantan los juegos de estrategia;I love strategy games
Todo lo que tenga que ver con la historia y las guerras;Everything to do with history and wars
Y destruir ejrcitos enemigos con mi gran poder;And destroy enemy armies with my great power
Y no te creas que solo juego. Me encanta leer libros de historia y leer haza¤as de grandes batallas;And don't think I'm just playing. I love reading history books and reading feats of great battles
Tambin me encanta;I also love it
Todo lo que tenga que ver con la historia y las guerras;Everything to do with history and wars
Y no solo juego, eh. Me encanta leer libros de historia y leer haza¤as de grandes batallas;And I don't just play, I love reading history books and reading feats of great battles
¨Quin juega a eso en estos tiempos?;Who plays that kind of games these days?
No lo creas;Don't believe it.
Creo que es una afici¢n muy sana;I think it's a very healthy hobby
Y tampoco es que me vaya a dar un d¡a por entrar al colegio armado con un fusil;And it's not like I'm going to the school armed with a rifle
No, no... No estar¡a bien...;No, no... I won't be okay...
Necesito aprobar el ex men de historia;I need to pass the history exam
­Claro amigo! Podemos quedar en mi casa y te ense¤o todo lo que tienes que saber;Of course my friend! We can meet at my house and teach you everything you need to know
Mmm... estaba pensando mejor en otra manera de ayuda;Hmm... I was thinking better about another way to help
¨A qu te refieres?;What do you mean?"
Estaba pensando en que hicieras t£ el examen por mi;I was thinking about you taking the exam for me
Pero...;But…
¨No ser¡a meterme en un l¡o muy grande?;I don't wanna get in trouble...
­Que va! Lo tengo todo pensado. Te disfrazas de mi y te presentas al examen;Don't worry! I've got it all figured out. You dress up as me and pass the exam
­Nadie lo notar !;No one notices!
No s... No lo veo claro...;I don't know... I don't see it...
­Oh! ¨En serio?;­Oh! Really?
De acuerdo, ­te ayudar!;Okay, I will help you!
Cons¡gueme algo para disfrazarme de ti y har el examen;Get me something to disguise myself as you and I will take the exam
Si, te ayudar;Yes, I help you
Cons¡gueme algo para disfrazarme de ti y har el examen;Get me something to disguise myself as you and I take the exam
Pues no s...;You know...
Consigue algo para el pelo;Get something for the hair
Consigue alguna camiseta como las tuyas;Get a t-shirt like yours
alguna camiseta como las tuyas;a t-shirt like yours
Consigue alg£n pantal¢n parecido al tuyo;Get some pants similar to yours
y alg£n pantal¢n parecido al tuyo;and some pants similar to yours
Y con eso lo tendremos listo;And with that we'll have it ready
Es la puerta que da al pasillo;It is the door leading to the corridor
Esta ventana al exterior impide que la gente haga uso fraudulentos con los ordenadores;This window to the outside prevents people from fraudulently using computers
Los ordenadores del instituto siguen siendo unos 486;The institute's computers are still 486
No tengo tiempo para jugar ahora;I have no time for games
He de aprobar las asignaturas que me quedan para conseguir el dinero;I have to pass the remaining subjects to get the money
Ademas ese ordenador tiene el virus Barrotes;In addition, that computer has the Barrotes virus
Un manual de Q-Basic para MS-DOS;A Q-Basic manual for MS-DOS
Aprenda a programar desde el juego Gorillas al Snake;Learn to program from the game Gorillas to Snake
No me hace falta;No, I don't need it.
Yo ya me pas a programar en C;I've already started programming in C
Parece que est  jugando a alg£n tipo de juego de estrategia;Looks like he is playing some kind of strategy game
No puedo usarlo;I can't use it
El friki est  jugando;The nerd is playing
Supuestamente est  disfrazado de mi;He's supposedly disguised as me
Este chaval es el rarito del instituto;This kid is the high school weirdo
Creo que esto va a ser material para mis pesadillas;I think this is going to be material for my nightmares
