sp;eng
Nada destacable;Nothing remarkable
No veo nada;I can't see anything.
Nada de especial;Nothing special.
Nada interesante;Nothing of interest
Sin inters;No interest
No hay nada que ver;Nothing to see here
No lo necesito;Not needed
Est  bien donde est ;It's good where it is
Tampoco voy a llenar el inventario de trastos in£tiles;I'm not going to fill the inventory with useless junk either
No quiero llev rmelo;I don't want to take it
Mejor que no;It's better than not
No quiero acumular trastos;I don't want to accumulate junk
Est  bien como est ;It's fine as it is
No es para abrir;Not for opening
No es necesario abrirlo;No need to open it
No hace falta abrirlo;No need to open it
Est  bien como est ;It's fine as it is
No es para cerrar;Not to close
No es necesario cerrarlo;No need to close it
No hace falta cerrarlo;No need to close it
No parece que funcione;Doesn't seem to work
No va bien juntas;It doesn't go well together
No hace nada;Does nothing
Esas cosas no combinan;Those things don't go together
Prefiero qued rmelo;I prefer to keep it
Mejor me lo guardo;I'd better keep it
No lo quiere;He doesn’t want it…
No s si quiere hablar;I don't know if he want to talk
Mejor estar callado;Better to be quiet
Creo que eso no habla;I think that doesn't speak
Me he quedado sin palabras;I've run out of words.
No creo que conteste;I don't think he'll answer
Las cosas no hablan;Things don't talk
No tengo nada que decirle;I have nothing to say to him.
No necesito moverlo;I don't need to move it
Est  bien as¡;It's okay like that!
No me apetece moverlo;I don't feel like moving it
No hace falta mover;No need to move
Est  mejor quieto;Better be still
No;No
No creo que se mueva;I don't think it's moving
No es necesario;It isn't necessary
No tengo nada programado;I don't have anything programmed
Prefiero que no;I prefer not
No s que pretendes que suceda;I don't know what you intend to happen
Creo que eso no funciona;I think that doesn't work
Tampoco tengo que hacer todo lo que digas...;I don't have to do everything you say either...
